Designator,Footprint,Quantity,Value,LCSC Part #
"C1_10B1, C1_85B1, C1_N10L1, C1_N11L1, C1_P1V8L1, C2_10B1, C2_85B1, C2_N10L1, C2_N11L1, C2_P1V8L1",0603,10,10uF,C194427
"C1_UM1, C1_VI1, C1_VIA1, C2_UM1, C2_VI1, C2_VIA1, C3_VI1, C3_VIA1",0805,8,10uF,C1713
"D1_10B1, D1_85B1, D1_VIA1",0402,3,D_Schottky,C2837790
D2_VIA1,0805,1,D,C109001
ESD1_UM1,SOT-666,1,USBLC6-2P6,C2827693
"H1, H2, H3, H4",MountingHole_2.5mm,4,MountingHole,
"J1_3S1, J1_3S10, J1_3S11, J1_3S12, J1_3S13, J1_3S14, J1_3S15, J1_3S16, J1_3S17, J1_3S2, J1_3S3, J1_3S4, J1_3S5, J1_3S6, J1_3S7, J1_3S8, J1_3S9",PinHeader_1x03_P2.54mm_Vertical,17,Conn_01x03_Pin,C2937625
"L1_10B1, L1_85B1",0805,2,L 10uH,C285963
"POW1_10B1, POW1_85B1",SOT-23-5,2,LM27313XMF,C181744
"POW1_N10L1, POW1_N11L1",SOIC-8_3.9x4.9mm_P1.27mm,2,LM337L_SO8,C544819
POW1_P1V8L1,SOT-23,1,APE8865N-18-HF-3,C347373
"POW1_VI1, POW1_VIA1",SOIC-8_3.9x4.9mm_P1.27mm,2,TC7662Bx0A,C88402
R1A_N10L1,0402,1,R 1.6k 1%,C4908
R1A_N11L1,0402,1,R 1.8k 1%,C2909310
"R1B_N10L1, R1B_N11L1",0402,2,R 75 1%,C25133
"R1_10B1, R1_85B1",0402,2,R 100k 1%,C60491
R1_UM1,0402,1,1M,C2906900
R2_10B1,0402,1,R 14k 1%,C3015834
R2_85B1,0402,1,R 16k 1%,C163487
"R2_N10L1, R2_N11L1",0402,2,R 240 1%,C25094
"R2_UM1, R3_UM1",0402,2,27,C25100
REG1_UM1,SOT-23-5,1,AP2112K-3.3,C51118
USB1_UM1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,C319160
