Designator,Mid X,Mid Y,Rotation,Layer
C1_10B1,151.726194,-60.733097,90.0,top
C1_85B1,152.487783,-76.039253,90.0,top
C1_N10L1,174.948461,-75.313164,90.0,top
C1_N11L1,174.070234,-58.008999,90.0,top
C1_P1V8L1,148.560764,-86.79676,0.0,top
C1_UM1,136.096891,-41.180654,270.0,top
C1_VI1,125.397009,-65.064109,270.0,top
C1_VIA1,125.24739,-88.053653,270.0,top
C2_10B1,144.947725,-60.502835,90.0,top
C2_85B1,145.709314,-75.808991,90.0,top
C2_N10L1,164.788461,-74.818164,90.0,top
C2_N11L1,163.910234,-57.513999,90.0,top
C2_P1V8L1,150.338764,-89.84476,90.0,top
C2_UM1,138.906077,-47.479873,270.0,top
C2_VI1,131.834979,-68.582999,0.0,top
C2_VIA1,131.68536,-91.572543,0.0,top
C3_VI1,131.755004,-60.485553,0.0,top
C3_VIA1,131.605385,-83.475097,0.0,top
D1_10B1,146.272762,-59.195813,90.0,top
D1_85B1,147.034351,-74.501969,90.0,top
D1_VIA1,128.11893,-91.038707,0.0,top
D2_VIA1,128.097216,-92.840768,0.0,top
ESD1_UM1,132.85164,-42.942162,0.0,top
J1_3S1,144.399825,-40.311057,0.0,top
J1_3S10,160.650202,-71.492325,0.0,top
J1_3S11,178.480634,-71.968486,0.0,top
J1_3S12,140.392416,-56.180487,0.0,top
J1_3S13,155.308827,-56.194834,0.0,top
J1_3S14,140.793905,-71.464894,0.0,top
J1_3S15,156.166527,-71.631463,0.0,top
J1_3S16,143.800133,-86.863686,0.0,top
J1_3S17,153.419818,-87.209625,0.0,top
J1_3S2,151.703933,-40.395258,0.0,top
J1_3S3,159.494594,-40.163548,0.0,top
J1_3S4,136.043745,-57.49096,0.0,top
J1_3S5,135.858529,-77.619715,0.0,top
J1_3S6,136.047049,-67.610068,0.0,top
J1_3S7,135.814052,-87.573686,0.0,top
J1_3S8,159.886663,-56.767052,0.0,top
J1_3S9,177.203554,-54.755196,0.0,top
L1_10B1,148.882165,-58.851952,180.0,top
L1_85B1,149.643754,-74.158108,180.0,top
POW1_10B1,148.859855,-61.503373,0.0,top
POW1_85B1,149.621444,-76.809529,0.0,top
POW1_N10L1,170.445407,-75.222343,0.0,top
POW1_N11L1,169.56718,-57.918178,0.0,top
POW1_P1V8L1,147.798764,-89.512261,90.0,top
POW1_VI1,130.240503,-64.479494,0.0,top
POW1_VIA1,130.090884,-87.469038,0.0,top
R1A_N10L1,165.042461,-77.599165,270.0,top
R1A_N11L1,164.164234,-60.295,270.0,top
R1B_N10L1,166.058461,-77.601164,90.0,top
R1B_N11L1,165.180234,-60.296999,90.0,top
R1_10B1,144.776984,-62.566949,0.0,top
R1_85B1,145.538573,-77.873105,0.0,top
R1_UM1,134.900678,-38.467312,270.0,top
R2_10B1,146.265843,-61.992827,90.0,top
R2_85B1,147.027432,-77.298983,90.0,top
R2_N10L1,166.058461,-74.295164,90.0,top
R2_N11L1,165.180234,-56.990999,90.0,top
R2_UM1,129.385278,-42.916,90.0,top
R3_UM1,130.619717,-42.916,90.0,top
REG1_UM1,136.105305,-45.427856,270.0,top
USB1_UM1,129.699717,-36.956,180.0,top
